ds,temp_mean,temp_min,temp_max,precip
1974-12-12 18:30:00,-1.3492599,-6.070875,4.854125,0.23750001
1974-12-13 18:30:00,-1.8075938,-5.952125,2.510375,9.7875
1974-12-14 18:30:00,0.27521873,-1.3271248,2.222875,28.925
1974-12-15 18:30:00,-0.7891041,-3.077125,1.722875,14.300001
1974-12-16 18:30:00,-1.5596775,-5.152125,2.3353748,3.6875002
1974-12-17 18:30:00,-4.2226977,-8.477125,1.3978748,0.3
1974-12-18 18:30:00,-6.1864996,-10.258375,-0.020875216,0.0
1974-12-19 18:30:00,-6.9914474,-11.302125,-0.5771251,0.0
1974-12-20 18:30:00,-3.4635835,-8.189625,1.5166249,0.37500003
1974-12-21 18:30:00,-1.6625417,-5.514625,3.1541252,0.49999994
1974-12-22 18:30:00,-3.840146,-8.270875,1.9416249,0.0
1974-12-23 18:30:00,-0.81774986,-5.102125,3.454125,1.4375001
1974-12-24 18:30:00,0.7101145,-3.8083751,4.9978747,2.1375
1974-12-25 18:30:00,1.7129792,-1.1271249,4.722875,5.15
1974-12-26 18:30:00,3.446052,0.98537517,6.366625,11.0875
1974-12-27 18:30:00,4.18824,1.7603749,7.279125,5.75
1974-12-28 18:30:00,2.4502192,-2.520875,6.041625,5.725
1974-12-29 18:30:00,-2.041448,-7.614625,3.872875,0.0625
1974-12-30 18:30:00,-3.1276462,-7.2771254,2.0791252,0.5
1974-12-31 18:30:00,-3.2065523,-6.258375,1.291625,0.38750002
1975-01-01 18:30:00,-5.146656,-9.214624,-0.40837502,0.0
1975-01-02 18:30:00,-6.1237397,-10.133375,-0.23337507,0.0
1975-01-03 18:30:00,-5.9057703,-10.770876,-0.50837517,0.0
1975-01-04 18:30:00,-2.3482182,-6.720875,3.235375,0.0
1975-01-05 18:30:00,-0.002906561,-3.3521252,4.929125,2.1500003
1975-01-06 18:30:00,0.06688535,-3.4396248,4.2228746,3.8874998
1975-01-07 18:30:00,0.55985427,-2.120875,3.922875,4.2875
1975-01-08 18:30:00,-0.5870205,-3.602125,3.479125,0.4125
1975-01-09 18:30:00,-0.91306233,-4.277125,3.7166252,0.3
1975-01-10 18:30:00,-1.3253025,-4.308375,2.5541248,3.5874999
